Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
Washington Federal Bank for Savings,Chicago,Illinois,30570,Royal Savings Bank,15-Dec-17,21-Feb-18
The Farmers and Merchants State Bank of Argonia,Argonia,Kansas,17719,Conway Bank,13-Oct-17,21-Feb-18
Fayette County Bank,Saint Elmo,Illinois,1802,"United Fidelity Bank, fsb",26-May-17,26-Jul-17
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan) ",Milwaukee,Wisconsin,30003,First-Citizens Bank & Trust Company,5-May-17,22-Mar-18
First NBC Bank,New Orleans,Louisiana,58302,Whitney Bank,28-Apr-17,5-Dec-17
Puerto Ricooficio Bank,Cottonwood Heights,Utah,35495,Cache Valley Bank,3-Mar-17,7-Mar-18
Seaway Bank and Trust Company,Chicago,Illinois,19328,State Bank of Texas,27-Jan-17,18-May-17
Harvest Community Bank,Pennsville,New Jersey,34951,First-Citizens Bank & Trust Company,13-Jan-17,18-May-17
Allied Bank,Mulberry,Arkansas,91,Today's Bank,23-Sep-16,25-Sep-17
The Woodbury Banking Company,Woodbury,Georgia,11297,United Bank,19-Aug-16,1-Jun-17
First CornerStone Bank,King of Puerto Ricoussia,Pennsylvania,35312,First-Citizens Bank & Trust Company,6-May-16,6-Sep-16
Trust Company Bank,Memphis,Tennessee,9956,The Bank of Fayette County,29-Apr-16,6-Sep-16
North Milwaukee State Bank,Milwaukee,Wisconsin,20364,First-Citizens Bank & Trust Company,11-Mar-16,13-Mar-17
Hometown National Bank,Longview,Washington,35156,Twin City Bank,2-Oct-15,19-Feb-18
The Bank of Georgia,Peachtree City,Georgia,35259,Fidelity Bank,2-Oct-15,24-Oct-16
Puerto Ricoemier Bank,Denver,Colorado,34112,"United Fidelity Bank, fsb",10-Jul-15,20-Feb-18
Edgebrook Bank,Chicago,Illinois,57772,Republic Bank of Chicago,8-May-15,12-Jul-16
Doral Bank,San Juan,Puerto Rico,32102,Banco Popular de Puerto Rico,27-Feb-15,13-May-15
Capitol City Bank & Trust Company,Atlanta,Georgia,33938,First-Citizens Bank & Trust Company,13-Feb-15,21-Apr-15
Highland Community Bank,Chicago,Illinois,20290,"United Fidelity Bank, fsb",23-Jan-15,15-Nov-17
First National Bank of Crestview ,Crestview,Florida,17557,First NBC Bank,16-Jan-15,15-Nov-17
Northern Star Bank,Mankato,Minnesota,34983,BankVista,19-Dec-14,3-Jan-18
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,California,34738,"Bank of Southern California, N.A.",7-Nov-14,10-Nov-16
The National Republic Bank of Chicago,Chicago,Illinois,916,State Bank of Texas,24-Oct-14,6-Jan-16
NBRS Financial,Rising Sun,Maryland,4862,Howard Bank,17-Oct-14,19-Feb-18
"GreenChoice Bank, fsb",Chicago,Illinois,28462,"Puerto Ricoovidence Bank, LLC",25-Jul-14,12-Dec-16
Eastside Commercial Bank,Conyers,Georgia,58125,Community & Southern Bank,18-Jul-14,6-Oct-17
The Freedom State Bank ,Freedom,Oklahoma,12483,Alva State Bank & Trust Company,27-Jun-14,21-Feb-18
Valley Bank,Fort Lauderdale,Florida,21793,"Landmark Bank, National Association",20-Jun-14,14-Feb-18
Valley Bank,Moline,Illinois,10450,Great Southern Bank,20-Jun-14,26-Jun-15
Slavie Federal Savings Bank,Bel Air,Maryland,32368,"Bay Bank, FSB",30-May-14,12-Dec-16
Columbia Savings Bank,Cincinnati,Ohio,32284,"United Fidelity Bank, fsb",23-May-14,10-Nov-16
AztecAmerica Bank ,Berwyn,Illinois,57866,Republic Bank of Chicago,16-May-14,20-Oct-16
Allendale County Bank,Fairfax,South Carolina,15062,Palmetto State Bank,25-Apr-14,18-Jul-14
Vantage Point Bank,Horsham,Pennsylvania,58531,First Choice Bank,28-Feb-14,7-Jan-18
"Millennium Bank, National Association ",Sterling,Virginia,35096,WashingtonFirst Bank,28-Feb-14,3-Mar-15
Syringa Bank,Boise,Idaho,34296,Sunwest Bank,31-Jan-14,12-Apr-16
The Bank of Union,El Reno,Oklahoma,17967,BancFirst,24-Jan-14,25-Mar-16
DuPage National Bank,West Chicago,Illinois,5732,Republic Bank of Chicago,17-Jan-14,20-Oct-16
"Texas Community Bank, National Association",The Woodlands,Texas,57431,"Spirit of Texas Bank, SSB",13-Dec-13,13-Feb-18
Bank of Jackson County,Graceville,Florida,14794,First Federal Bank of Florida,30-Oct-13,20-Oct-16
First National Bank also operating as The National Bank of El Paso,Edinburg,Texas,14318,PlainsCapital Bank,13-Sep-13,27-May-15
The Community's Bank,Bridgeport,Connecticut,57041,No Acquirer,13-Sep-13,7-Dec-15
Sunrise Bank of Arizona,Phoenix,Arizona,34707,"First Fidelity Bank, National Association",23-Aug-13,3-May-17
Community South Bank,Parsons,Tennessee,19849,"CB&S Bank, Inc.",23-Aug-13,12-Sep-14
Bank of Wausau,Wausau,Wisconsin,35016,Nicolet National Bank,9-Aug-13,21-Feb-18
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,Florida,34943,C1 Bank,2-Aug-13,9-Feb-17
Mountain National Bank,Sevierville,Tennessee,34789,"First Tennessee Bank, National Association",7-Jun-13,4-Feb-16
1st Commerce Bank,North Las Vegas,Nevada,58358,Plaza Bank,6-Jun-13,12-Jul-13
Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,Wisconsin,35386,"North Shore Bank, FSB",31-May-13,5-May-17
Central Arizona Bank,Scottsdale,Arizona,34527,Western State Bank,14-May-13,7-Dec-15
Sunrise Bank,Valdosta,Georgia,58185,Synovus Bank,10-May-13,26-Jun-14
Pisgah Community Bank,Asheville,North Carolina,58701,"Capital Bank, N.A.",10-May-13,8-Aug-16
Douglas County Bank,Douglasville,Georgia,21649,Hamilton State Bank,26-Apr-13,25-Apr-14
Parkway Bank,Lenoir,North Carolina,57158,"CertusBank, National Association",26-Apr-13,6-Oct-17
Chipola Community Bank,Marianna,Florida,58034,First Federal Bank of Florida,19-Apr-13,21-Sep-15
Heritage Bank of North Florida,Orange Park,Florida,26680,FirstAtlantic Bank,19-Apr-13,8-Aug-16
First Federal Bank,Lexington,Kentucky,29594,Your Community Bank,19-Apr-13,12-Dec-16
Gold Canyon Bank,Gold Canyon,Arizona,58066,"First Scottsdale Bank, National Association",5-Apr-13,6-Oct-17
Frontier Bank,LaGrange,Georgia,16431,HeritageBank of the South,8-Mar-13,13-Nov-17
Covenant Bank,Chicago,Illinois,22476,Liberty Bank and Trust Company,15-Feb-13,21-Sep-15
1st Regents Bank,Andover,Minnesota,57157,First Minnesota Bank,18-Jan-13,12-Jul-16
Westside Community Bank,University Place,Washington,33997,Sunwest Bank,11-Jan-13,8-Aug-16
Community Bank of the Ozarks,Sunrise Beach,Missouri,27331,Bank of Sullivan,14-Dec-12,4-Apr-14
Hometown Community Bank,Braselton,Georgia,57928,"CertusBank, National Association",16-Nov-12,6-Oct-17
Citizens First National Bank,Puerto Ricoinceton,Illinois,3731,Heartland Bank and Trust Company,2-Nov-12,13-Feb-18
Heritage Bank of Florida,Lutz,Florida,35009,Centennial Bank,2-Nov-12,21-Mar-14
